csv_index,dish_name,diet_type,meal_type,goal,dish_calories,dish_protein_g,dish_fat_g,dish_carbs_g,food_item,role_in_dish,quantity, In_Grams , Price_Per_Gram , Price_Per_Portion 
83,Shrimp & Couscous Bowl,Mediterranean,Dinner,Heart health,460,32,10,58,lemon chicken,dressing,juice of 1, 19 , 38 ," 4,477 "
2015,Shrimp & Couscous Bowl,Mediterranean,Dinner,Heart health,460,32,10,58,garlic,flavor,2 cloves, 8 , 12 ," 4,477 "
2009,Shrimp & Couscous Bowl,Mediterranean,Dinner,Heart health,460,32,10,58,parsley fresh,garnish,chopped, 5 , 20 ," 4,477 "
889,Greek Yogurt Parfait,Mediterranean,Breakfast,Heart health,290,16,6,44,yogurt,base,1 cup, 245 , 539 ," 1,474 "
40,Greek Yogurt Parfait,Mediterranean,Breakfast,Heart health,290,16,6,44,honey,drizzle,1 tbsp, 21 , 147 ," 1,474 "
1076,Greek Yogurt Parfait,Mediterranean,Breakfast,Heart health,290,16,6,44,walnut,topping,20g, 20 , 240 ," 1,474 "
1859,Greek Yogurt Parfait,Mediterranean,Breakfast,Heart health,290,16,6,44,pomegranate,topping,0.25 cup, 44 , 152 ," 1,474 "
817,Greek Yogurt Parfait,Mediterranean,Breakfast,Heart health,290,16,6,44,oats,granola,0.25 cup, 23 , 45 ," 1,474 "
101,Greek Yogurt Parfait,Mediterranean,Breakfast,Heart health,290,16,6,44,nachos with cinnamon sugar,flavor,pinch, 0 , 0 ," 1,474 "
1840,Greek Yogurt Parfait,Mediterranean,Breakfast,Heart health,290,16,6,44,figs,topping,2 halved, 100 , 350 ," 1,474 "
1528,Eggplant & Tomato Bake,Mediterranean,Dinner,Heart health,280,8,12,36,eggplant raw,base,2 large, 900 ," 2,250 "," 3,896 "
169,Eggplant & Tomato Bake,Mediterranean,Dinner,Heart health,280,8,12,36,pasta with meatballs in tomato sauce,sauce,3 chopped, 369 , 738 ," 3,896 "
2015,Eggplant & Tomato Bake,Mediterranean,Dinner,Heart health,280,8,12,36,garlic,flavor,4 cloves, 16 , 24 ," 3,896 "
1155,Eggplant & Tomato Bake,Mediterranean,Dinner,Heart health,280,8,12,36,olive oil,drizzle,3 tbsp, 42 , 504 ," 3,896 "
2010,Eggplant & Tomato Bake,Mediterranean,Dinner,Heart health,280,8,12,36,oregano dried,herb,1 tsp, 1 , 4 ," 3,896 "
36,Eggplant & Tomato Bake,Mediterranean,Dinner,Heart health,280,8,12,36,feta cheese,topping,40g, 40 , 360 ," 3,896 "
2024,Eggplant & Tomato Bake,Mediterranean,Dinner,Heart health,280,8,12,36,basil dried,garnish,fresh if possible, 2 , 8 ," 3,896 "
1377,Eggplant & Tomato Bake,Mediterranean,Dinner,Heart health,280,8,12,36,red wine vinegar,balance,1 tsp, 5 , 8 ," 3,896 "
498,Tuna Niçoise Salad,Mediterranean,Lunch,Heart health,380,30,14,28,tuna canned,base,1 can, 140 , 980 ," 2,391 "
620,Tuna Niçoise Salad,Mediterranean,Lunch,Heart health,380,30,14,28,egg white raw,add-in,2 boiled eggs, 66 , 165 ," 2,391 "
1633,Tuna Niçoise Salad,Mediterranean,Lunch,Heart health,380,30,14,28,cucumber,base,sliced, 200 , 360 ," 2,391 "
169,Tuna Niçoise Salad,Mediterranean,Lunch,Heart health,380,30,14,28,pasta with meatballs in tomato sauce,base,2 halved, 246 , 492 ," 2,391 "
1155,Tuna Niçoise Salad,Mediterranean,Lunch,Heart health,380,30,14,28,olive oil,dressing,2 tbsp, 28 , 336 ," 2,391 "
1377,Tuna Niçoise Salad,Mediterranean,Lunch,Heart health,380,30,14,28,red wine vinegar,dressing,1 tbsp, 15 , 23 ," 2,391 "
2015,Tuna Niçoise Salad,Mediterranean,Lunch,Heart health,380,30,14,28,garlic,dressing,1 cloves, 4 , 6 ," 2,391 "
1764,Tuna Niçoise Salad,Mediterranean,Lunch,Heart health,380,30,14,28,capers canned,topping,1 tbsp, 9 , 27 ," 2,391 "
2010,Tuna Niçoise Salad,Mediterranean,Lunch,Heart health,380,30,14,28,oregano dried,herb,0.5 tsp, 1 , 2 ," 2,391 "
650,Whole Grain Veggie Flatbread,Mediterranean,Lunch,Heart health,370,14,10,52,whole grain wheat flour,base,1 flatbread, 75 , 113 ," 1,673 "
169,Whole Grain Veggie Flatbread,Mediterranean,Lunch,Heart health,370,14,10,52,pasta with meatballs in tomato sauce,topping,2 slices, 70 , 140 ," 1,673 "
28,Whole Grain Veggie Flatbread,Mediterranean,Lunch,Heart health,370,14,10,52,mozzarella cheese,topping,40g, 40 , 360 ," 1,673 "
1528,Whole Grain Veggie Flatbread,Mediterranean,Lunch,Heart health,370,14,10,52,eggplant raw,topping,grilled slices, 350 , 875 ," 1,673 "
1155,Whole Grain Veggie Flatbread,Mediterranean,Lunch,Heart health,370,14,10,52,olive oil,drizzle,1 tbsp, 14 , 168 ," 1,673 "
2024,Whole Grain Veggie Flatbread,Mediterranean,Lunch,Heart health,370,14,10,52,basil dried,herb,fresh if possible, 2 , 8 ," 1,673 "
2015,Whole Grain Veggie Flatbread,Mediterranean,Lunch,Heart health,370,14,10,52,garlic,rub,1 cloves, 4 , 6 ," 1,673 "
1377,Whole Grain Veggie Flatbread,Mediterranean,Lunch,Heart health,370,14,10,52,red wine vinegar,drizzle,0.5 tsp, 3 , 4 ," 1,673 "
2360,DASH Turkey Veggie Bowl,DASH,Dinner,Blood pressure,420,40,8,44,turkey breast raw,base,180g, 180 ," 2,160 "," 2,783 "
777,DASH Turkey Veggie Bowl,DASH,Dinner,Blood pressure,420,40,8,44,quinoa cooked,base,0.5 cup, 93 , 278 ," 2,783 "
1519,DASH Turkey Veggie Bowl,DASH,Dinner,Blood pressure,420,40,8,44,broccoli raab raw,veggie,1 cup, 40 , 100 ," 2,783 "
1013,DASH Turkey Veggie Bowl,DASH,Dinner,Blood pressure,420,40,8,44,carrot juice,veggie,2 medium, 122 , 159 ," 2,783 "
2015,DASH Turkey Veggie Bowl,DASH,Dinner,Blood pressure,420,40,8,44,garlic,flavor,2 cloves, 8 , 12 ," 2,783 "
1155,DASH Turkey Veggie Bowl,DASH,Dinner,Blood pressure,420,40,8,44,olive oil,cooking,1 tsp, 5 , 54 ," 2,783 "
83,DASH Turkey Veggie Bowl,DASH,Dinner,Blood pressure,420,40,8,44,lemon chicken,flavor,squeeze — no salt, 10 , 19 ," 2,783 "
2022,DASH Turkey Veggie Bowl,DASH,Dinner,Blood pressure,420,40,8,44,thyme dried,herb,0.5 tsp, 1 , 2 ," 2,783 "
94,DASH Veggie Soup,DASH,Lunch,Blood pressure,220,12,4,36,spinach souffle,veggie,2 cup, 170 , 340 ," 1,970 "
1013,DASH Veggie Soup,DASH,Lunch,Blood pressure,220,12,4,36,carrot juice,veggie,3 chopped, 183 , 238 ," 1,970 "
231,DASH Veggie Soup,DASH,Lunch,Blood pressure,220,12,4,36,cream of celery soup,veggie,3 stalks, 120 , 480 ," 1,970 "
169,DASH Veggie Soup,DASH,Lunch,Blood pressure,220,12,4,36,pasta with meatballs in tomato sauce,base,3 chopped, 369 , 738 ," 1,970 "
2063,DASH Veggie Soup,DASH,Lunch,Blood pressure,220,12,4,36,lentils raw,protein,0.25 cup, 50 , 100 ," 1,970 "
2015,DASH Veggie Soup,DASH,Lunch,Blood pressure,220,12,4,36,garlic,flavor,3 cloves, 12 , 18 ," 1,970 "
2022,DASH Veggie Soup,DASH,Lunch,Blood pressure,220,12,4,36,thyme dried,herb,0.5 tsp, 1 , 2 ," 1,970 "
1155,DASH Veggie Soup,DASH,Lunch,Blood pressure,220,12,4,36,olive oil,cooking,1 tsp, 5 , 54 ," 1,970 "
1835,Banana Oat Smoothie,DASH,Breakfast,Blood pressure,310,10,6,56,banana,base,1 whole, 118 , 236 , 708 
817,Banana Oat Smoothie,DASH,Breakfast,Blood pressure,310,10,6,56,oats,base,0.25 cup, 23 , 45 , 708 
889,Banana Oat Smoothie,DASH,Breakfast,Blood pressure,310,10,6,56,yogurt,base,0.5 cup, 123 , 270 , 708 
1037,Banana Oat Smoothie,DASH,Breakfast,Blood pressure,310,10,6,56,flaxseeds,boost,1 tbsp, 10 , 40 , 708 
40,Banana Oat Smoothie,DASH,Breakfast,Blood pressure,310,10,6,56,honey,sweetener,1 tsp, 7 , 49 , 708 
1066,Banana Oat Smoothie,DASH,Breakfast,Blood pressure,310,10,6,56,chia seeds dried,boost,1 tsp, 4 , 16 , 708 
1842,Banana Oat Smoothie,DASH,Breakfast,Blood pressure,310,10,6,56,orange,add-in,juice of 0.5, 26 , 52 , 708 
366,Poached Trout & Steamed Veg,DASH,Dinner,Blood pressure,360,38,12,18,trout cooked,base,200g, 200 ," 3,200 "," 3,546 "
1519,Poached Trout & Steamed Veg,DASH,Dinner,Blood pressure,360,38,12,18,broccoli raab raw,side,1 cup, 40 , 100 ," 3,546 "
1013,Poached Trout & Steamed Veg,DASH,Dinner,Blood pressure,360,38,12,18,carrot juice,side,2 steamed, 122 , 159 ," 3,546 "
2015,Poached Trout & Steamed Veg,DASH,Dinner,Blood pressure,360,38,12,18,garlic,flavor,2 cloves, 8 , 12 ," 3,546 "
83,Poached Trout & Steamed Veg,DASH,Dinner,Blood pressure,360,38,12,18,lemon chicken,seasoning,juice — replaces salt, 10 , 19 ," 3,546 "
1155,Poached Trout & Steamed Veg,DASH,Dinner,Blood pressure,360,38,12,18,olive oil,drizzle,1 tsp, 5 , 54 ," 3,546 "
2022,Poached Trout & Steamed Veg,DASH,Dinner,Blood pressure,360,38,12,18,thyme dried,herb,0.5 tsp, 1 , 2 ," 3,546 "
879,DASH Berry Cottage Cheese Bowl,DASH,Breakfast,Blood pressure,230,20,5,28,cottage cheese creamed,base,1 cup, 226 ," 2,034 "," 2,377 "
630,DASH Berry Cottage Cheese Bowl,DASH,Breakfast,Blood pressure,230,20,5,28,strawberry topping,topping,0.5 cup, 76 , 152 ," 2,377 "
116,DASH Berry Cottage Cheese Bowl,DASH,Breakfast,Blood pressure,230,20,5,28,blueberry pancakes,topping,0.25 cup, 37 , 93 ," 2,377 "
1835,DASH Berry Cottage Cheese Bowl,DASH,Breakfast,Blood pressure,230,20,5,28,banana,topping,0.5 slices, 18 , 35 ," 2,377 "
40,DASH Berry Cottage Cheese Bowl,DASH,Breakfast,Blood pressure,230,20,5,28,honey,drizzle,1 tsp, 7 , 49 ," 2,377 "
1037,DASH Berry Cottage Cheese Bowl,DASH,Breakfast,Blood pressure,230,20,5,28,flaxseeds,boost,1 tsp, 4 , 14 ," 2,377 "
2380,Baked Chicken & Root Veg,DASH,Dinner,Blood pressure,440,42,10,38,chicken breast cooked,base,200g, 200 ," 2,200 "," 3,750 "
1013,Baked Chicken & Root Veg,DASH,Dinner,Blood pressure,440,42,10,38,carrot juice,side,3 roasted, 183 , 238 ," 3,750 "
87,Baked Chicken & Root Veg,DASH,Dinner,Blood pressure,440,42,10,38,sweet sour pork,side,1 medium, 119 ," 1,071 "," 3,750 "
2015,Baked Chicken & Root Veg,DASH,Dinner,Blood pressure,440,42,10,38,garlic,flavor,4 cloves, 16 , 24 ," 3,750 "
1155,Baked Chicken & Root Veg,DASH,Dinner,Blood pressure,440,42,10,38,olive oil,cooking,1 tbsp, 14 , 168 ," 3,750 "
2022,Baked Chicken & Root Veg,DASH,Dinner,Blood pressure,440,42,10,38,thyme dried,herb,1 tsp, 1 , 4 ," 3,750 "
83,Baked Chicken & Root Veg,DASH,Dinner,Blood pressure,440,42,10,38,lemon chicken,flavor,slices, 20 , 40 ," 3,750 "
1988,Baked Chicken & Root Veg,DASH,Dinner,Blood pressure,440,42,10,38,paprika,rub,0.5 tsp, 1 , 6 ," 3,750 "
2063,DASH Lentil & Veggie Wrap,DASH,Lunch,Blood pressure,360,18,6,56,lentils raw,base,0.5 cup, 100 , 200 ," 1,177 "
650,DASH Lentil & Veggie Wrap,DASH,Lunch,Blood pressure,360,18,6,56,whole grain wheat flour,wrap,1 large, 75 , 113 ," 1,177 "
94,DASH Lentil & Veggie Wrap,DASH,Lunch,Blood pressure,360,18,6,56,spinach souffle,filling,1 cup, 85 , 170 ," 1,177 "
1633,DASH Lentil & Veggie Wrap,DASH,Lunch,Blood pressure,360,18,6,56,cucumber,filling,sliced, 200 , 360 ," 1,177 "
169,DASH Lentil & Veggie Wrap,DASH,Lunch,Blood pressure,360,18,6,56,pasta with meatballs in tomato sauce,filling,sliced, 123 , 246 ," 1,177 "
889,DASH Lentil & Veggie Wrap,DASH,Lunch,Blood pressure,360,18,6,56,yogurt,sauce,2 tbsp, 30 , 66 ," 1,177 "
2015,DASH Lentil & Veggie Wrap,DASH,Lunch,Blood pressure,360,18,6,56,garlic,sauce,0.5 cloves, 2 , 3 ," 1,177 "
83,DASH Lentil & Veggie Wrap,DASH,Lunch,Blood pressure,360,18,6,56,lemon chicken,sauce,squeeze, 10 , 19 ," 1,177 "
817,Apple Walnut Oatmeal,DASH,Breakfast,Blood pressure,350,10,10,54,oats,base,0.5 cup, 45 , 90 , 851 
1874,Apple Walnut Oatmeal,DASH,Breakfast,Blood pressure,350,10,10,54,apple,topping,1 diced, 182 , 364 , 851 
1076,Apple Walnut Oatmeal,DASH,Breakfast,Blood pressure,350,10,10,54,walnut,topping,20g, 20 , 240 , 851 
40,Apple Walnut Oatmeal,DASH,Breakfast,Blood pressure,350,10,10,54,honey,drizzle,1 tsp, 7 , 49 , 851 
101,Apple Walnut Oatmeal,DASH,Breakfast,Blood pressure,350,10,10,54,nachos with cinnamon sugar,flavor,0.5 tsp, 1 , 2 , 851 
1037,Apple Walnut Oatmeal,DASH,Breakfast,Blood pressure,350,10,10,54,flaxseeds,boost,1 tbsp, 10 , 40 , 851 
889,Apple Walnut Oatmeal,DASH,Breakfast,Blood pressure,350,10,10,54,yogurt,stir-in,2 tbsp, 30 , 66 , 851 
2063,Tomato Lentil Soup (low sodium),DASH,Lunch,Blood pressure,280,16,4,46,lentils raw,base,0.5 cup, 100 , 200 ," 1,785 "
169,Tomato Lentil Soup (low sodium),DASH,Lunch,Blood pressure,280,16,4,46,pasta with meatballs in tomato sauce,base,4 chopped, 492 , 984 ," 1,785 "
1013,Tomato Lentil Soup (low sodium),DASH,Lunch,Blood pressure,280,16,4,46,carrot juice,base,2 chopped, 122 , 159 ," 1,785 "
231,Tomato Lentil Soup (low sodium),DASH,Lunch,Blood pressure,280,16,4,46,cream of celery soup,base,2 stalks, 80 , 320 ," 1,785 "
2015,Tomato Lentil Soup (low sodium),DASH,Lunch,Blood pressure,280,16,4,46,garlic,flavor,3 cloves, 12 , 18 ," 1,785 "
1019,Tomato Lentil Soup (low sodium),DASH,Lunch,Blood pressure,280,16,4,46,cumin seeds,spice,1 tsp, 2 , 12 ," 1,785 "
1155,Tomato Lentil Soup (low sodium),DASH,Lunch,Blood pressure,280,16,4,46,olive oil,cooking,1 tsp, 5 , 54 ," 1,785 "
83,Tomato Lentil Soup (low sodium),DASH,Lunch,Blood pressure,280,16,4,46,lemon chicken,finish,juice of 1, 19 , 38 ," 1,785 "
1874,DASH Fruit & Nut Snack Plate,DASH,Snack,Blood pressure,260,8,14,30,apple,base,1 slices, 35 , 70 , 702 
1076,DASH Fruit & Nut Snack Plate,DASH,Snack,Blood pressure,260,8,14,30,walnut,side,20g, 20 , 240 , 702 
1039,DASH Fruit & Nut Snack Plate,DASH,Snack,Blood pressure,260,8,14,30,pistachio nuts raw,side,15g, 15 , 180 , 702 
889,DASH Fruit & Nut Snack Plate,DASH,Snack,Blood pressure,260,8,14,30,yogurt,dip,0.25 cup, 61 , 135 , 702 
40,DASH Fruit & Nut Snack Plate,DASH,Snack,Blood pressure,260,8,14,30,honey,drizzle,0.5 tsp, 4 , 25 , 702 
1859,DASH Fruit & Nut Snack Plate,DASH,Snack,Blood pressure,260,8,14,30,pomegranate,sprinkle,seeds, 15 , 53 , 702 
2380,Chicken & Rice Muscle Bowl,High-Protein,Meal prep,Muscle gain,540,50,10,60,chicken breast cooked,base,220g, 220 ," 2,420 "," 2,976 "
860,Chicken & Rice Muscle Bowl,High-Protein,Meal prep,Muscle gain,540,50,10,60,white rice raw,base,1 cup, 185 , 333 ," 2,976 "
1519,Chicken & Rice Muscle Bowl,High-Protein,Meal prep,Muscle gain,540,50,10,60,broccoli raab raw,side,1 cup, 40 , 100 ," 2,976 "
2015,Chicken & Rice Muscle Bowl,High-Protein,Meal prep,Muscle gain,540,50,10,60,garlic,flavor,2 cloves, 8 , 12 ," 2,976 "
1489,Chicken & Rice Muscle Bowl,High-Protein,Meal prep,Muscle gain,540,50,10,60,soy sauce,seasoning,1 tbsp, 16 , 32 ," 2,976 "
1155,Chicken & Rice Muscle Bowl,High-Protein,Meal prep,Muscle gain,540,50,10,60,olive oil,cooking,1 tsp, 5 , 54 ," 2,976 "
1988,Chicken & Rice Muscle Bowl,High-Protein,Meal prep,Muscle gain,540,50,10,60,paprika,flavor,0.5 tsp, 1 , 6 ," 2,976 "
83,Chicken & Rice Muscle Bowl,High-Protein,Meal prep,Muscle gain,540,50,10,60,lemon chicken,finish,squeeze, 10 , 19 ," 2,976 "
2160,Beef & Quinoa Power Bowl,High-Protein,Dinner,Muscle gain,560,48,16,44,beef shoulder steak raw,base,180g, 180 , 144 ," 1,130 "
777,Beef & Quinoa Power Bowl,High-Protein,Dinner,Muscle gain,560,48,16,44,quinoa cooked,side,0.75 cup, 139 , 416 ," 1,130 "
94,Beef & Quinoa Power Bowl,High-Protein,Dinner,Muscle gain,560,48,16,44,spinach souffle,base,2 cup, 170 , 340 ," 1,130 "
2015,Beef & Quinoa Power Bowl,High-Protein,Dinner,Muscle gain,560,48,16,44,garlic,flavor,3 cloves, 12 , 18 ," 1,130 "
1155,Beef & Quinoa Power Bowl,High-Protein,Dinner,Muscle gain,560,48,16,44,olive oil,cooking,1 tbsp, 14 , 168 ," 1,130 "
1988,Beef & Quinoa Power Bowl,High-Protein,Dinner,Muscle gain,560,48,16,44,paprika,rub,1 tsp, 2 , 12 ," 1,130 "
83,Beef & Quinoa Power Bowl,High-Protein,Dinner,Muscle gain,560,48,16,44,lemon chicken,finish,squeeze, 10 , 19 ," 1,130 "
2020,Beef & Quinoa Power Bowl,High-Protein,Dinner,Muscle gain,560,48,16,44,mustard,glaze,1 tsp, 5 , 13 ," 1,130 "
620,Egg White Scramble & Toast,High-Protein,Breakfast,Muscle gain,320,34,8,28,egg white raw,base,8 egg whites, 264 , 660 ," 1,329 "
650,Egg White Scramble & Toast,High-Protein,Breakfast,Muscle gain,320,34,8,28,whole grain wheat flour,base,2 slices, 70 , 105 ," 1,329 "
94,Egg White Scramble & Toast,High-Protein,Breakfast,Muscle gain,320,34,8,28,spinach souffle,filling,1 cup, 85 , 170 ," 1,329 "
191,Egg White Scramble & Toast,High-Protein,Breakfast,Muscle gain,320,34,8,28,chicken mushroom soup,filling,0.5 cup, 120 , 360 ," 1,329 "
2015,Egg White Scramble & Toast,High-Protein,Breakfast,Muscle gain,320,34,8,28,garlic,flavor,1 cloves, 4 , 6 ," 1,329 "
1155,Egg White Scramble & Toast,High-Protein,Breakfast,Muscle gain,320,34,8,28,olive oil,cooking,0.5 tsp, 2 , 26 ," 1,329 "
1988,Egg White Scramble & Toast,High-Protein,Breakfast,Muscle gain,320,34,8,28,paprika,flavor,pinch, 0 , 2 ," 1,329 "
362,Salmon Protein Bowl,High-Protein,Lunch,Muscle gain,580,46,22,44,salmon cooked,base,180g, 180 ," 2,880 "," 3,750 "
777,Salmon Protein Bowl,High-Protein,Lunch,Muscle gain,580,46,22,44,quinoa cooked,base,0.75 cup, 139 , 416 ," 3,750 "
1702,Salmon Protein Bowl,High-Protein,Lunch,Muscle gain,580,46,22,44,avocado,topping,0.25 slices, 9 , 35 ," 3,750 "
1633,Salmon Protein Bowl,High-Protein,Lunch,Muscle gain,580,46,22,44,cucumber,topping,diced, 200 , 360 ," 3,750 "
1489,Salmon Protein Bowl,High-Protein,Lunch,Muscle gain,580,46,22,44,soy sauce,dressing,1 tbsp, 16 , 32 ," 3,750 "
83,Salmon Protein Bowl,High-Protein,Lunch,Muscle gain,580,46,22,44,lemon chicken,dressing,squeeze, 10 , 19 ," 3,750 "
649,Salmon Protein Bowl,High-Protein,Lunch,Muscle gain,580,46,22,44,sesame flour,garnish,1 tsp, 3 , 5 ," 3,750 "
2015,Salmon Protein Bowl,High-Protein,Lunch,Muscle gain,580,46,22,44,garlic,dressing,0.5 cloves, 2 , 3 ," 3,750 "
2360,Turkey Meatball Pasta,High-Protein,Dinner,Muscle gain,560,44,14,58,turkey breast raw,base,200g, 200 ," 2,400 "," 3,566 "
650,Turkey Meatball Pasta,High-Protein,Dinner,Muscle gain,560,44,14,58,whole grain wheat flour,pasta,100g, 100 , 150 ," 3,566 "
169,Turkey Meatball Pasta,High-Protein,Dinner,Muscle gain,560,44,14,58,pasta with meatballs in tomato sauce,sauce,3 chopped, 369 , 738 ," 3,566 "
2015,Turkey Meatball Pasta,High-Protein,Dinner,Muscle gain,560,44,14,58,garlic,sauce,3 cloves, 12 , 18 ," 3,566 "
