Unnamed: 0,food,price_per_100g_amd
253,crab soup,2000
254,tripe soup,500
255,little india little lunch,300
256,original chicken sandwich chick fil a,600
257,sausage mcmuffin mcdonalds,300
258,sausage mcgriddles mcdonalds,400
259,crispy chicken drumstick kentucky fried chicken,550
260,chicken crispy drumsticks kentucky fried chicken,550
261,biscuit kentucky fried chicken,550
262,english muffin mcdonalds,300
263,french fries mcdonalds,350
264,hotdog,900
265,french fries burger king,350
266,original taco with beef cheese lettuce taco bell,400
267,hotdog with chili,900
268,chicken crispy wings kentucky fried chicken,550
269,egg white delight mcdonalds,400
270,french toast sticks burger king,600
271,mcchicken mcdonalds,550
272,nachos supreme taco bell,400
273,crispy chicken wing kentucky fried chicken,550
274,chicken strips burger king,600
275,crispy chicken breast kentucky fried chicken,550
276,sausage biscuit mcdonalds,300
277,sausage burrito mcdonalds,400
278,onion rings fried,150
279,onion rings burger king,600
280,turkey patty fried,300
281,hotcakes with syrup mcdonalds,300
282,crispy chicken thigh kentucky fried chicken,550
283,corn dog,160
284,chicken box mcdonalds,550
285,potato wedges kentucky fried chicken,550
286,scrambled eggs mcdonalds,400
287,egg mcmuffin mcdonalds,300
288,nachos taco bell,400
289,biscuit large mcdonalds,300
290,crispy chicken strips kentucky fried chicken,550
291,hotcakes mcdonalds,300
292,chicken crispy breast kentucky fried chicken,550
293,hotcakes sausage mcdonalds,300
294,chicken mcnuggets mcdonalds,550
295,chips chipotle,350
296,biscuit mcdonalds,300
297,rice bowl with chicken,200
298,spaghetti with meatballs,200
299,meat ravioli canned,300
300,cheese ravioli canned,1000
301,premium crispy chicken ranch blt sandwich mcdonalds,600
302,steak sandwich,80
303,cheeseburger burger king,600
304,cheeseburger mcdonalds,600
305,double cheeseburger,1000
306,double hamburger,1000
307,premium grilled chicken classic sandwich mcdonalds,600
308,big n tasty with cheese mcdonalds,400
309,premium grilled chicken club sandwich mcdonalds,600
310,quarter pounder mcdonalds,400
311,premium crispy chicken classic sandwich mcdonalds,600
312,veggie burger,300
313,quarter pounder with cheese mcdonalds,400
314,beef sandwich steak raw,80
315,cheeseburger,1000
316,premium grilled chicken ranch blt sandwich mcdonalds,600
317,double whopper with cheese burger king,600
318,big mac mcdonalds,400
319,sandwich with cold cuts,300
320,filet o fish mcdonalds,400
321,hand breaded chicken tenders carls jr,550
322,grilled chicken sandwich wendys,600
323,sandwich with roast beef,1400
324,hamburger burger king,600
325,big n tasty mcdonalds,400
326,roast beef sandwich,1400
327,roast beef sandwich with cheese,1000
328,hamburger,1000
329,premium fish sandwich burger king,600
330,whopper burger king,600
331,sandwich with tuna salad,200
332,original chicken sandwich burger king,600
333,double whopper burger king,600
334,premium crispy chicken club sandwich mcdonalds,600
335,hamburger mcdonalds,600
336,pepperoni pizza dominos,450
337,sausage pizza,400
338,pepperoni pizza,180
339,pepperoni pizza pizza hut,450
340,cheese pizza pizza hut,450
341,cheese pizza,1000
342,cheese pizza dominos,450
343,meat vegetable pizza,450
344,sucker raw,300
345,northern pike raw,300
346,haddock cooked,800
347,burbot cooked,300
348,pollock cooked,800
349,rainbow smelt raw,300
350,whitefish cooked,800
351,walleye pike raw,300
352,carp cooked,300
353,wolffish cooked,800
354,snapper cooked,300
355,roe cooked,300
356,anchovy raw,800
357,herring raw,800
358,cod raw,800
359,tilapia raw,800
360,whiting cooked,300
361,skipjack tuna cooked,1600
362,salmon cooked,1600
363,chum salmon cooked,1600
364,american shad cooked,300
365,shark cooked,300
366,trout cooked,1600
367,swordfish raw,1600
368,rainbow trout cooked,1600
369,fish sandwich with cheese,1000
370,jellyfish dried,350
371,mullet raw,300
372,halibut cooked,1600
373,lingcod raw,800
374,orange roughy cooked,200
375,cisco raw,300
376,florida pompano cooked,300
377,snapper raw,300
378,fish sandwich,800
379,haddock raw,800
380,ocean perch raw,800
381,cuttlefish cooked,2000
382,cod cooked,800
383,seatrout raw,1600
384,flounder raw,300
385,spot cooked,300
386,walleye pike cooked,300
387,perch raw,800
388,pumpkin seed sunfish raw,130
389,salt mackerel,50
390,mackerel cooked,800
391,tilapia cooked,800
392,drum raw,2000
393,atlantic croaker fried,300
394,pumpkin seed sunfish cooked,130
395,wolffish raw,800
396,bluefin tuna cooked,1600
397,scup cooked,300
398,herring cooked,800
399,bluefish raw,800
400,sheepshead cooked,300
401,bass cooked,300
402,pout cooked,300
403,chinook salmon raw,1600
404,rockfish raw,800
405,tilefish raw,800
406,scup raw,300
407,sablefish cooked,800
408,tuna salad,200
409,coho salmon cooked,1600
410,roe raw,300
411,sea bass raw,1600
412,pink salmon cooked,1600
413,sockeye salmon cooked,1600
414,whitefish raw,800
415,greenland halibut cooked,1600
416,northern pike cooked,300
417,salmon raw,1600
418,turbot cooked,300
419,surimi,300
420,chinook salmon cooked,1600
421,mullet cooked,300
422,chum salmon raw,1600
423,butterfish raw,700
424,sea bass cooked,1600
425,greenland halibut raw,1600
426,halibut raw,1600
427,sturgeon cooked,1600
428,fish fillet fried,700
429,rainbow trout raw,1600
430,pout raw,300
431,rainbow smelt cooked,300
432,monkfish raw,800
433,trout raw,1600
434,shark raw,300
435,burbot raw,300
436,dolphinfish cooked,800
437,crayfish cooked,2000
438,dolphinfish raw,800
439,perch cooked,800
440,cusk raw,300
441,bluefin tuna raw,1600
442,milkfish cooked,150
443,carp raw,300
444,sturgeon raw,1600
445,orange roughy raw,200
446,catfish fried,800
447,cuttlefish raw,2000
448,bass raw,300
449,flounder cooked,300
450,milkfish raw,150
451,eel raw,300
452,catfish raw,800
453,fish sticks,700
454,coho salmon raw,1600
455,monkfish cooked,800
456,yellowtail cooked,300
457,yellowfin tuna cooked,1600
458,ling cooked,300
459,eel cooked,300
460,sablefish raw,800
461,salmon nuggets,1600
462,yellowtail raw,300
463,butterfish cooked,700
464,caviar,9000
465,pollock raw,800
466,catfish cooked,800
467,whiting raw,300
468,pink salmon raw,1600
469,yellowfin tuna raw,1600
470,mackerel raw,800
471,turbot raw,300
472,cusk cooked,300
473,atlantic croaker raw,300
474,sucker cooked,300
475,spot raw,300
476,drum cooked,2000
477,crayfish raw,2000
478,tilefish cooked,800
479,bluefish cooked,800
480,grouper cooked,300
481,sheepshead raw,300
482,herring kippered,900
483,grouper raw,300
484,ocean perch cooked,800
485,ling raw,300
486,lingcod cooked,800
487,florida pompano raw,300
488,rockfish cooked,800
489,seatrout cooked,1600
490,sockeye salmon raw,1600
491,swordfish cooked,1600
492,american shad raw,300
493,sardine canned in oil,500
494,anchovy canned in oil,500
495,salmon canned,700
496,sardines in tomato sauce canned,200
497,sockeye salmon canned,700
498,tuna canned,700
499,pink salmon canned,700
500,cod canned,450
501,eastern oyster canned,2000
502,chum salmon canned,700
503,tuna canned in oil,500
504,wild pink salmon oceans,1600
505,shrimp canned,1500
506,alaska king crab raw,2000
507,scallops fried,2000
508,shrimp cooked,1500
509,clams fried,2000
510,alaska king crab cooked,2000
511,scallops cooked,2000
512,squid fried,2000
513,oyster raw,2000
514,abalone,2000
515,queen crab raw,2000
516,whelk cooked,300
517,oyster cooked,2000
518,eastern oyster cooked,2000
519,blue mussels cooked,2000
520,octopus raw,2000
521,spiny lobster cooked,2000
522,blue mussels raw,2000
523,queen crab cooked,2000
524,dungeness crab cooked,2000
525,dungeness crab raw,2000
526,shrimp fried,1500
527,shrimp raw,1500
528,blue crab cooked,2000
529,shrimp imitation,1500
530,conch baked,300
531,squid raw,2000
532,scallop raw,2000
533,lobster raw,2000
534,scallop imitation,2000
535,blue crab raw,2000
536,whelk raw,300
537,spiny lobster raw,2000
538,clams canned,2000
539,lobster cooked,2000
540,eastern oyster fried,2000
541,clams raw,2000
542,octopus cooked,2000
543,eastern oyster raw,2000
544,oyster fried,2000
545,sturgeon smoked,1800
546,chinook salmon smoked,1800
547,cisco smoked,300
548,haddock smoked,900
549,whitefish smoked,1000
550,red salmon sockeye filets smoked,1800
551,eggnog,300
552,beer light,130
553,beer budweiser,130
554,weizenbier erdinger,130
555,beer light budweiser,130
556,beer,130
557,root beer,130
558,whiskey sour mix,2000
559,whiskey sour,2000
560,tequila sunrise,2000
561,daiquiri,300
562,pina colada,90
563,whiskey,2000
564,rum,2000
565,vodka smirnoff,2000
566,coffee liqueur,900
567,gin,2000
568,dessert wine sweet,380
569,chenin blanc white wine,380
570,gamay red wine,380
571,late harvest white wine,380
572,gewurztraminer white wine,380
573,burgundy red wine,600
574,zinfandel red wine,600
575,muller thurgau white wine,380
576,mouvedre red wine,380
577,table wine,380
578,wine light,380
579,white wine,380
580,petite sirah red wine,380
581,non alcoholic wine,380
582,pinot noir red wine,600
583,pinot gris grigio white wine,600
584,riesling white wine,600
585,barbera red wine,380
586,lemberger red wine,380
587,merlot red wine,600
588,sangiovese red wine,380
589,sauvignon blanc white wine,600
590,syrah red wine,600
591,carignane red wine,380
592,pinot blanc white wine,600
593,semillon white wine,380
594,dessert wine dry,380
595,red wine,380
596,cabernet sauvignon red wine,600
597,muscat white wine,380
598,cooking wine,380
599,chardonnay white wine,600
600,claret red wine,380
601,rice sake,200
602,fume blanc white wine,380
603,cabarnet franc red wine,380
604,chocolate frosting,90
605,white sugar,120
606,egg substitute,300
607,agave syrup,1200
608,splenda sweetener,600
609,vanilla extract,2000
610,egg yolk dried,250
611,granulated sugar,120
612,baking chocolate,600
613,bakers yeast,300
614,fondant,700
615,brown sugar,120
616,white frosting dry,300
617,maple sugar,140
618,fructose sweetener,600
619,saccharin sweetener,600
620,egg white raw,250
621,turbinado sugar,140
622,vanilla frosting,300
623,aspartame sweetener,600
624,egg raw,250
625,pineapple topping,200
626,egg white dried,250
627,egg yolk raw,250
628,baking soda,200
629,egg dried,900
630,strawberry topping,200
631,bakers yeast dry,300
632,almond paste,700
633,cream of tartar,400
634,popover dry mix,300
635,egg substitute powder,300
636,gelatin powder,400
637,tapioca pearls,250
638,baking powder,200
639,egg boiled,250
640,millet flour,150
641,triticale flour,150
642,corn flour white,150
643,rice flour brown,200
644,sorghum flour,150
645,cornmeal whole grain,160
646,cornmeal white,160
647,barley flour,150
648,safflower seed meal,600
649,sesame flour,150
650,whole grain wheat flour,150
651,corn flour yellow,150
652,corn flour whole grain,150
653,cottonseed flour low fat,150
654,sunflower seed flour,150
655,sesame meal,300
656,acorn flour,150
657,rice flour white,200
658,sesame flour low fat,150
659,potato flour,150
660,cornmeal yellow,160
661,rye flour,150
662,arrowroot flour,150
663,chickpea flour,500
664,wheat flour,150
665,cornstarch,150
666,carob flour,150
667,buckwheat flour,150
668,pecan pie,500
669,apple pie,450
670,vanilla wafer pie crust,380
671,chocolate pie crust,90
672,apple strudel,200
673,chocolate snack cake,90
674,fruit fried pie,500
675,pumpkin pie,450
676,corn cake,160
677,sponge snack cake,500
678,danish pastry with nuts,350
679,chocolate cream pie,520
680,angel food cake,500
681,lemon meringue pie,500
682,danish pastry with cinnamon,350
683,cinnamon coffeecake,100
684,cheesecake,1000
685,fruitcake,500
686,egg custard,300
687,mince pie,500
688,yellow cake with chocolate frosting,90
689,danish pastry with fruit,350
690,white cake with coconut frosting,600
691,danish pastry with cheese,1000
692,graham cracker pie crust,1000
693,blueberry pie,450
694,yellow cake with vanilla frosting,500
695,pie crust,500
696,chocolate cake with chocolate frosting,90
697,cheese coffeecake,1000
698,vanilla cream pie,480
699,pineapple cake,200
700,peach pie,200
701,fruit coffeecake,100
702,pound cake,500
703,pound cake bread,180
704,white cake,500
705,coffeecake with chocolate frosting,90
706,popcorn cake,300
707,banana cream pie,480
708,baked apple pie mcdonalds,350
709,sponge cake,500
710,yellow cake,500
711,shortcake,500
712,cherry pie,450
713,dutch apple pie,200
714,chocolate cake,90
715,marshmallow,500
716,sugar apple,140
717,toffee,500
718,vanilla fudge with nuts,600
719,peanuts chocolate coated,90
720,caramel with nuts chocolate coated,90
721,gingerbread,180
722,rolo nestle,700
723,vanilla fudge,500
724,halavah,300
725,praline,500
726,fruit juice bar,130
727,peanut brittle,350
728,butterscotch,700
729,chocolate coffee beans,90
730,nougat with almonds,1200
731,carob,300
732,peanut butter fudge,700
733,sugar coated almonds,140
734,chocolate coated marshmallow,90
735,raisins chocolate coated,90
736,chewing gum sugarless,140
737,chewing gum,1000
738,chocolate syrup,250
739,chocolate fudge syrup,250
740,m ms milk chocolate mars,700
741,milk chocolate with almonds,750
742,chocolate fudge,90
743,milk chocolate with rice cereal,750
744,m ms peanut chocolate mars,700
745,dark chocolate,90
746,chocolate semisweet,90
747,after eight mints nestle,400
748,milk chocolate,750
749,white chocolate,90
750,chocolate,90
751,twix mars,700
752,kit kat nestle,700
753,snickers mars,700
754,milky way mars,150
755,clif bar,300
756,gum drops,500
757,skittles wild berry mars,700
758,skittles original mars,2000
759,skittles tropical mars,700
760,fruit leather,300
761,taffy,500
762,eisbonbons mac iver,300
763,caramels,500
764,hard candy,500
765,jellybeans,350
766,jellies,300
767,wheat germ toasted,250
768,crispy brown rice,200
769,bran flakes asda,400
770,amaranth cooked,300
771,triticale,300
772,barley raw,300
773,bulgur dry,300
774,cottonseed kernels roasted,600
775,rice bran,200
776,chaptti roti indian bread,180
777,quinoa cooked,300
778,dar vida swiss original,2000
779,teff cooked,300
780,couscous dry,250
781,weetabix weetabix,400
782,oat bran cooked,200
783,buckwheat cooked,300
784,millet puffed,300
785,oat bran raw,200
786,popcorn oil popped,300
787,kamut cooked,300
788,wheat bran,250
789,cheese popcorn,1000
790,raisin bran crunch kelloggs,400
791,couscous cooked,150
792,multigrain cheerios general mills,400
793,bulgur cooked,300
794,popcorn air popped,300
795,teff raw,300
796,spelt cooked,300
797,millet raw,300
798,popcorn unpopped,300
799,whole wheat cooked,300
800,wheat sprouted,300
801,whole wheat dry,300
802,caramel popcorn,400
803,wheat puffed,300
804,roggenmischbrot sonnenblumenkerne aldi,300
805,wheat germ,250
806,microwave popcorn,300
807,millet cooked,300
808,kamut raw,300
809,wheat durum,2000
810,sorghum,300
811,white wheat,300
812,rye,300
813,spelt raw,300
814,buckwheat raw,300
815,honey cereali general mills,400
816,barley cooked,300
817,oats,200
818,amaranth raw,300
819,semolina,300
820,quinoa dry,300
821,wheat shredded,300
822,cattail,300
823,peanut granola bar,450
824,vanilla bluberry bar kind,300
825,coconut granola bar,450
826,almond granola bar,450
827,chocolate chip granola bar,450
828,fruit granola bar,450
829,granola bar,450
830,peanut bar,350
831,milk cereal bar,150
832,almond rice bar,200
833,fruit nut squares,600
834,rice wheat cereal bar,200
835,crisped rice bar,200
836,brown rice raw,280
837,rice pilaf cooked,100
838,beef flavored rice raw,180
839,wild rice cooked,100
840,wild rice raw,280
841,congee with pork shrimp and squid plus egg,900
842,white rice pasta cooked,120
843,chicken flavored rice raw,180
844,instant white rice raw,180
845,rice crisps,200
846,parboiled white rice raw,180
847,instant white rice cooked,100
848,rice pilaf raw,180
849,rice cracker cake,350
850,parboiled white rice cooked,100
851,white rice steamed,200
852,brown rice cake,350
853,glutinous white rice raw,180
854,white rice pasta raw,200
855,glutinous white rice cooked,100
856,brown rice cooked,100
857,beef flavored rice cooked,100
858,white rice cooked,100
859,chicken flavored rice cooked,100
860,white rice raw,180
861,cheese imitation,1000
862,cheshire cheese,1400
863,monterey cheese,900
864,edam cheese,1400
865,fontina cheese,1400
866,monterey cheese low fat,900
867,colby cheese,900
868,american cheese,900
869,blue cheese,900
870,chocolate pudding fat free,200
871,tapioca pudding,200
872,tapioca pudding fat free,200
873,rice pudding,200
874,corn pudding,200
875,chocolate pudding,200
876,lemon pudding,200
877,vanilla pudding,200
878,profeel proteiinirahka valio,300
879,cottage cheese creamed,900
880,zaziki milfina,220
881,cottage cheese low fat,900
882,cottage cheese nonfat,900
883,vanilla yogurt low fat,220
884,classique yogurt plain 2 liberte,220
885,yoplait light strawberry yogurt yoplait,220
886,vanilla yogurt,220
887,chocolate yogurt,220
888,yogurt parfait,220
889,yogurt,220
890,chocolate frozen yogurt,220
891,frozen yogurt,220
892,yogurt low fat,220
893,vanilla yoghurt oikos,450
894,fruit yogurt,220
895,danone low fat alsafi,300
896,fruit n yogurt parfait mcdonalds,400
897,triple zero greek yogurt dannon oikos,450
898,greek yogurt,450
899,chocolate rasberry protein mini proteinfx,90
900,gushers fruit gushers,300
901,egg fried,250
902,glucerna abbott,300
903,sports drink,120
904,peanut butter cookie protein syntha 6,700
905,hanfprotein pulver rohkostqualitat veganz,300
906,smoothie high protein creamy chocolate slimfast,400
907,egg large,250
908,boysenberries frozen,300
909,malt beverage,300
910,chocolate powder for milk,90
911,vegetable fruit juice,130
912,cocoa powder unsweetened,600
913,coconut milk,180
914,cocoa powder,600
915,rice drink,180
916,coconut water,180
917,caramel med iced coffee dunkin donuts,400
918,instant coffee with water decaffeinated,2500
919,instant coffee powder,2500
920,instant coffee powder decaffeinated,2500
921,instant cappuccino powder,100
922,coffee decaffeinated,100
923,espresso decaffeinated,100
924,instant coffee with water,2500
925,coffee,100
926,espresso,100
927,whey protein powder vanilla eas,2200
928,energy drink sugar free red bull,140
929,powerade coca cola,120
930,amp energy pepsi,250
931,gatorade g2 pepsi,120
932,amp energy sugar free pepsi,140
933,energy drink red bull,250
934,powerade zero ion4 coca cola,120
935,full throttle coca cola,250
936,passion fruit juice purple,130
937,pomegranate juice,150
938,cranberry apricot juice,130
939,pineapple juice,150
940,passion fruit juice yellow,130
941,orange apricot juice,130
942,tangerine juice,130
943,orange juice,150
944,grapefruit juice,130
945,pineapple grapefruit juice,130
946,tamarind nectar,130
947,apple juice,150
948,limeade,100
949,guava nectar,130
950,orange grapefruit juice,130
951,orange juice sainsburys,150
952,cranberry apple juice,150
953,pineapple orange juice,150
954,pear nectar,130
955,blackberry juice,130
956,lemon juice,130
957,cranberry grape juice,150
958,citrus fruit juice,130
959,prune juice,130
960,guanabana nectar,130
961,fruit juice,130
962,horchata,300
963,fruit punch,100
964,apricot nectar,130
965,orangensaft ja,200
966,fruchtcocktail granini,300
967,peach nectar,130
968,orange pineapple juice,150
969,cranberry juice,150
970,white grapefruit juice,130
971,mango nectar,130
972,acerola cherry juice,130
973,apple juice concentrate,150
974,papaya nectar,130
975,apple juice martinellis,150
976,lime juice,130
977,grape juice,150
978,water dannon,50
979,tap water,50
980,table water,50
981,fruit flavored water,50
982,water,50
983,cola light coca cola,90
984,lemon lime soda,90
985,tonic water,90
986,lemonade low calorie,100
987,ginger ale,2000
988,ice tea lemon flavor nestle,80
989,sprite coca cola,90
990,cola coca cola,90
991,cola,90
992,cream soda,400
993,club soda,90
994,pink lemonade,100
995,grape soda,90
996,cola without caffeine coca cola,90
997,white lemonade,100
998,chocolate soda,90
999,sweet tea lipton,80
1000,hibiscus tea,80
1001,instant lemon tea,80
1002,pesca tea santal,80
1003,instant lemon tea sweetened,80
1004,tea with milk and sugar yorkshire,150
1005,tea blueberry muffin tekanne,280
1006,chamomile tea,80
1007,black tea,80
1008,herb tea,80
1009,clam tomato juice,130
1010,tomato juice,130
1011,vegetable juice,130
1012,tomato vegetable juice,130
1013,carrot juice,130
1014,acorn dried,250
1015,fenugreek seeds,600
1016,peanut topping mcdonalds,400
1017,beechnuts dried,600
1018,breadnut tree seeds raw,180
1019,cumin seeds,600
1020,pili nuts dried,600
1021,hazelnuts roasted,1200
1022,lupins cooked,300
1023,hazelnuts blanched,1200
1024,brazilnuts dried,1200
1025,sunflower seeds dry roasted,400
1026,ginkgo nuts canned,2000
1027,peanuts cooked,350
1028,pumpkin squash seeds dried,130
1029,cashew nuts raw,1200
1030,sunflower seeds dried,400
1031,lotus seeds dried,600
1032,butternuts dried,700
1033,sesame seeds dried,400
1034,breadfruit seeds,180
1035,pinyon pine nuts dried,3000
1036,pine nuts dried,3000
1037,flaxseeds,400
1038,safflower seed kernels dried,600
1039,pistachio nuts raw,1200
1040,peanuts raw,350
1041,poppy seeds,400
1042,valencia peanuts raw,350
1043,spanish peanuts,350
1044,dill seeds,600
1045,caraway seeds,600
1046,acorn raw,160
1047,almonds roasted,1200
1048,lotus seeds raw,600
1049,chestnuts cooked,450
1050,alfalfa seeds,600
1051,virginia peanuts roasted,2000
1052,hazelnuts raw,1200
1053,anise seeds,600
1054,macadamia nuts roasted,1200
1055,studentenfutter alnatura,300
1056,pumpkin squash seeds roasted,130
1057,water chestnut raw,450
1058,chestnuts roasted,450
1059,ginkgo nuts raw,2000
1060,almonds raw,1200
1061,peanuts roasted,350
1062,sunflower seeds toasted,400
1063,sisymbrium seeds,600
1064,breadnut tree seeds dried,180
1065,pecans raw,1200
1066,chia seeds dried,400
1067,japanese chestnuts roasted,450
1068,sesame seeds toasted,400
1069,cashew nuts roasted,1200
1070,lupins raw,300
1071,mustard seeds ground,600
1072,mixed nuts roasted,900
1073,salat mix alestro,300
1074,chestnuts raw,450
1075,pistachio nuts roasted,1200
1076,walnut,1200
1077,celery seeds,180
1078,hickorynuts dried,600
1079,spanish peanuts roasted,350
1080,woca seeds dried,600
1081,pecans roasted,1200
1082,fennel seeds,600
1083,chinese chestnuts roasted,450
1084,watermelon seed kernels dried,50
1085,macadamia nuts raw,1200
1086,pectin,300
1087,black walnut dried,1200
1088,water chestnut canned,450
1089,ginkgo nuts dried,2000
1090,virginia peanuts raw,2000
1091,valencia peanuts roasted,350
1092,nesfit diet cereal nestle,400
1093,corn grits cooked,160
1094,amaranth flakes,300
1095,granola,450
1096,muesli with fruit nuts,450
1097,muesli master crumble,450
